Sujet,Bloc,Stim,Hits,FA,Miss,RC,RT,Diss,m_ppo,m_td,m_iti,t_pi,T.Rate,t_td,m_density,Uncertainty
1,4,mask_ppo_64_iti_11_td_006,0,1,0,0,8380.0,,64.0,0.06,1100.0,,,,19.0,442.0
1,4,mask_ppo_64_iti_11_td_01,0,0,0,1,0.0,,64.0,0.1,1100.0,,,,20.0,442.0
1,4,mask_ppo_64_iti_23_td_002,0,1,0,0,8217.0,,64.0,0.02,2300.0,,,,17.0,492.0
1,4,mask_ppo_64_td_002_iti_03_target_fq_1000_td_006_r_1,1,0,0,0,5953.0,40.0,64.0,0.02,300.0,1000.0,1.0,0.06,23.0,339.0
1,4,mask_ppo_64_td_002_iti_03_target_fq_1430_td_006_r_5,1,0,0,0,4123.0,40.0,64.0,0.02,300.0,1430.0,5.0,0.06,23.0,339.0
1,4,mask_ppo_64_td_002_iti_03_target_fq_2045_td_006_r_2,1,0,0,0,8269.0,40.0,64.0,0.02,300.0,2045.0,2.0,0.06,23.0,339.0
1,4,mask_ppo_64_td_002_iti_03_target_fq_699_td_006_r_2,1,0,0,0,5011.0,40.0,64.0,0.02,300.0,699.0,2.0,0.06,23.0,339.0
1,4,mask_ppo_64_td_002_iti_11_target_fq_1000_td_006_r_2,1,0,0,0,3903.0,40.0,64.0,0.02,1100.0,1000.0,2.0,0.06,19.0,442.0
1,4,mask_ppo_64_td_002_iti_11_target_fq_1430_td_006_r_1,1,0,0,0,4885.0,40.0,64.0,0.02,1100.0,1430.0,1.0,0.06,19.0,442.0
1,4,mask_ppo_64_td_002_iti_11_target_fq_2924_td_006_r_1,1,0,0,0,6168.0,40.0,64.0,0.02,1100.0,2924.0,1.0,0.06,19.0,442.0
1,4,mask_ppo_64_td_002_iti_23_target_fq_1430_td_006_r_2,1,0,0,0,2092.0,40.0,64.0,0.02,2300.0,1430.0,2.0,0.06,17.0,492.0
1,4,mask_ppo_64_td_002_iti_23_target_fq_2045_td_006_r_2,1,0,0,0,2490.0,40.0,64.0,0.02,2300.0,2045.0,2.0,0.06,17.0,492.0
1,4,mask_ppo_64_td_002_iti_23_target_fq_2924_td_006_r_1,1,0,0,0,3498.0,40.0,64.0,0.02,2300.0,2924.0,1.0,0.06,17.0,492.0
1,5,mask_ppo_16_iti_03_td_002,0,0,0,1,0.0,,16.0,0.02,300.0,,,,6.0,84.0
1,5,mask_ppo_16_iti_11_td_002,0,1,0,0,8713.0,,16.0,0.02,1100.0,,,,5.0,110.0
1,5,mask_ppo_16_iti_11_td_006,0,0,0,1,0.0,,16.0,0.06,1100.0,,,,5.0,110.0
1,5,mask_ppo_16_iti_11_td_01,0,0,0,1,0.0,,16.0,0.1,1100.0,,,,5.0,110.0
1,5,mask_ppo_16_iti_23_td_002,0,0,0,1,0.0,,16.0,0.02,2300.0,,,,4.0,123.0
1,5,mask_ppo_16_td_002_iti_11_target_fq_2045_td_006_r_2,1,0,0,0,2329.0,40.0,16.0,0.02,1100.0,2045.0,2.0,0.06,5.0,110.0
1,5,mask_ppo_16_td_002_iti_11_target_fq_2924_td_006_r_1,1,0,0,0,3936.0,40.0,16.0,0.02,1100.0,2924.0,1.0,0.06,5.0,110.0
1,5,mask_ppo_16_td_002_iti_11_target_fq_699_td_006_r_5,1,0,0,0,1949.0,40.0,16.0,0.02,1100.0,699.0,5.0,0.06,5.0,110.0
1,5,mask_ppo_16_td_002_iti_23_target_fq_1430_td_006_r_1,1,0,0,0,3764.0,40.0,16.0,0.02,2300.0,1430.0,1.0,0.06,4.0,123.0
1,5,mask_ppo_16_td_002_iti_23_target_fq_2045_td_006_r_1,1,0,0,0,4119.0,40.0,16.0,0.02,2300.0,2045.0,1.0,0.06,4.0,123.0
1,5,mask_ppo_16_td_002_iti_23_target_fq_2045_td_006_r_5,1,0,0,0,2476.0,40.0,16.0,0.02,2300.0,2045.0,5.0,0.06,4.0,123.0
1,5,mask_ppo_16_td_002_iti_23_target_fq_2924_td_006_r_2,1,0,0,0,2868.0,40.0,16.0,0.02,2300.0,2924.0,2.0,0.06,4.0,123.0
1,5,mask_ppo_16_td_002_iti_23_target_fq_489_td_006_r_2,1,0,0,0,2255.0,40.0,16.0,0.02,2300.0,489.0,2.0,0.06,4.0,123.0
1,5,mask_ppo_32_iti_03_td_002,0,0,0,1,0.0,,32.0,0.02,300.0,,,,11.0,169.0
1,5,mask_ppo_32_iti_11_td_002,0,0,0,1,0.0,,32.0,0.02,1100.0,,,,9.0,221.0
