Sujet,Bloc,Stim,Hits,FA,Miss,RC,RT,Similarity,m_ppo,m_td,m_iti,t_pi,T.Rate,t_td,m_density,Uncertainty
1,2,mask_ppo_4_td_008,0,1,0,0,1946.0,,4.0,0.08,1500.0,,,,1.0,29.0
1,2,mask_ppo_4_td_01,0,1,0,0,2874.0,,4.0,0.1,1500.0,,,,1.0,29.0
1,2,mask_ppo_4_td_01_target_fq_1430_td_002_r_20,1,0,0,0,1580.0,80.0,4.0,0.1,1500.0,1430.0,20.0,0.02,1.0,29.0
1,2,mask_ppo_4_td_01_target_fq_2924_td_002_r_5,1,0,0,0,2035.0,80.0,4.0,0.1,1500.0,2924.0,5.0,0.02,1.0,29.0
1,2,mask_ppo_64_td_002,0,1,0,0,3139.0,,64.0,0.02,1500.0,,,,18.0,463.0
1,2,mask_ppo_64_td_002_target_fq_1000_td_002_r_5,1,0,0,0,4900.0,0.0,64.0,0.02,1500.0,1000.0,5.0,0.02,18.0,463.0
1,2,mask_ppo_64_td_002_target_fq_2924_td_002_r_10,0,0,1,0,0.0,0.0,64.0,0.02,1500.0,2924.0,10.0,0.02,18.0,463.0
1,2,mask_ppo_64_td_004,0,1,0,0,1830.0,,64.0,0.04,1500.0,,,,18.0,463.0
1,2,mask_ppo_64_td_006,0,0,0,1,0.0,,64.0,0.06,1500.0,,,,19.0,463.0
1,2,mask_ppo_64_td_006_target_fq_1000_td_002_r_5,0,0,1,0,0.0,40.0,64.0,0.06,1500.0,1000.0,5.0,0.02,19.0,463.0
1,2,mask_ppo_64_td_006_target_fq_2045_td_002_r_5,0,0,1,0,0.0,40.0,64.0,0.06,1500.0,2045.0,5.0,0.02,19.0,463.0
1,2,mask_ppo_64_td_006_target_fq_699_td_002_r_5,0,0,1,0,0.0,40.0,64.0,0.06,1500.0,699.0,5.0,0.02,19.0,463.0
1,2,mask_ppo_64_td_01,0,0,0,1,0.0,,64.0,0.1,1500.0,,,,19.0,463.0
1,2,mask_ppo_64_td_01_target_fq_1430_td_002_r_5,0,0,1,0,0.0,80.0,64.0,0.1,1500.0,1430.0,5.0,0.02,19.0,463.0
1,2,mask_ppo_64_td_01_target_fq_2924_td_002_r_20,0,0,1,0,0.0,80.0,64.0,0.1,1500.0,2924.0,20.0,0.02,19.0,463.0
1,2,mask_ppo_64_td_01_target_fq_2924_td_002_r_5,1,0,0,0,1087.0,80.0,64.0,0.1,1500.0,2924.0,5.0,0.02,19.0,463.0
1,2,mask_ppo_64_td_01_target_fq_699_td_002_r_10,1,0,0,0,5238.0,80.0,64.0,0.1,1500.0,699.0,10.0,0.02,19.0,463.0
1,3,mask_ppo_16_td_002,0,0,0,1,0.0,,16.0,0.02,1500.0,,,,4.0,115.0
1,3,mask_ppo_16_td_002_target_fq_1430_td_002_r_20,1,0,0,0,1755.0,0.0,16.0,0.02,1500.0,1430.0,20.0,0.02,4.0,115.0
1,3,mask_ppo_16_td_002_target_fq_2924_td_002_r_10,1,0,0,0,1550.0,0.0,16.0,0.02,1500.0,2924.0,10.0,0.02,4.0,115.0
1,3,mask_ppo_16_td_002_target_fq_699_td_002_r_5,1,0,0,0,2595.0,0.0,16.0,0.02,1500.0,699.0,5.0,0.02,4.0,115.0
1,3,mask_ppo_16_td_004,0,1,0,0,4297.0,,16.0,0.04,1500.0,,,,5.0,115.0
1,3,mask_ppo_16_td_006,0,1,0,0,1494.0,,16.0,0.06,1500.0,,,,5.0,115.0
1,3,mask_ppo_16_td_006_target_fq_1430_td_002_r_5,1,0,0,0,1426.0,40.0,16.0,0.06,1500.0,1430.0,5.0,0.02,5.0,115.0
1,3,mask_ppo_16_td_006_target_fq_2924_td_002_r_20,1,0,0,0,1187.0,40.0,16.0,0.06,1500.0,2924.0,20.0,0.02,5.0,115.0
1,3,mask_ppo_16_td_006_target_fq_489_td_002_r_20,1,0,0,0,2930.0,40.0,16.0,0.06,1500.0,489.0,20.0,0.02,5.0,115.0
1,3,mask_ppo_16_td_01,0,1,0,0,1079.0,,16.0,0.1,1500.0,,,,5.0,115.0
1,3,mask_ppo_16_td_01_target_fq_1430_td_002_r_5,1,0,0,0,894.0,80.0,16.0,0.1,1500.0,1430.0,5.0,0.02,5.0,115.0
1,3,mask_ppo_16_td_01_target_fq_2045_td_002_r_10,1,0,0,0,1808.0,80.0,16.0,0.1,1500.0,2045.0,10.0,0.02,5.0,115.0
1,3,mask_ppo_16_td_01_target_fq_699_td_002_r_20,1,0,0,0,1272.0,80.0,16.0,0.1,1500.0,699.0,20.0,0.02,5.0,115.0
1,3,mask_ppo_4_td_002,0,1,0,0,1307.0,,4.0,0.02,1500.0,,,,1.0,29.0
1,3,mask_ppo_4_td_002_target_fq_1000_td_002_r_20,1,0,0,0,807.0,0.0,4.0,0.02,1500.0,1000.0,20.0,0.02,1.0,29.0
1,3,mask_ppo_4_td_002_target_fq_2924_td_002_r_10,0,0,1,0,0.0,0.0,4.0,0.02,1500.0,2924.0,10.0,0.02,1.0,29.0
1,3,mask_ppo_4_td_002_target_fq_699_td_002_r_10,1,0,0,0,1265.0,0.0,4.0,0.02,1500.0,699.0,10.0,0.02,1.0,29.0
1,3,mask_ppo_4_td_004,0,1,0,0,1569.0,,4.0,0.04,1500.0,,,,1.0,29.0
1,3,mask_ppo_4_td_006,0,1,0,0,1023.0,,4.0,0.06,1500.0,,,,1.0,29.0
1,3,mask_ppo_4_td_006_target_fq_1000_td_002_r_10,1,0,0,0,1383.0,40.0,4.0,0.06,1500.0,1000.0,10.0,0.02,1.0,29.0
1,3,mask_ppo_4_td_006_target_fq_2924_td_002_r_5,0,0,1,0,0.0,40.0,4.0,0.06,1500.0,2924.0,5.0,0.02,1.0,29.0
1,3,mask_ppo_4_td_006_target_fq_699_td_002_r_5,0,0,1,0,0.0,40.0,4.0,0.06,1500.0,699.0,5.0,0.02,1.0,29.0
1,3,mask_ppo_4_td_008,0,1,0,0,1120.0,,4.0,0.08,1500.0,,,,1.0,29.0
1,3,mask_ppo_4_td_01,0,1,0,0,1683.0,,4.0,0.1,1500.0,,,,1.0,29.0
1,3,mask_ppo_4_td_01_target_fq_1430_td_002_r_5,1,0,0,0,1153.0,80.0,4.0,0.1,1500.0,1430.0,5.0,0.02,1.0,29.0
1,3,mask_ppo_4_td_01_target_fq_2924_td_002_r_20,1,0,0,0,1077.0,80.0,4.0,0.1,1500.0,2924.0,20.0,0.02,1.0,29.0
